Beverage_Id,Beverage,Type,Calories,Fat,Carbohydrate,Fibre,Sugar,Protein,Caffeine,Cluster,,,,,,
86,Strawberries & Jam Sandwich,Food,600,25,80,10,25,19,0,0,,,,,Label,Cluster
88,Cage-Free Eggs & Seasoned Grains Side Salad,Food,360,18,33,3,4,17,0,0,,,,,High Protien Low Sugar Meal,0
90,Cubano Sandwich,Food,430,23,34,3,3,21,0,0,,,,,Feel good snack,1
91,Farmers' Market Protein Box,Food,470,29,29,4,12,21,0,0,,,,,Light Beverage,2
93,Green Goddess Avocado Salad,Food,620,37,62,10,16,13,0,0,,,,,Beverage,3
96,Roasted Carrot & Kale Side Salad,Food,440,26,44,7,6,10,0,0,,,,,Healthy Snack,4
97,Roasted Turkey & Dill Havarti Sandwich,Food,600,32,47,6,4,32,0,0,,,,,,
98,Seared Steak & Cheddar Sandwich,Food,530,29,44,2,3,23,0,0,,,,,,
99,Slow-Roasted Ham & Beecher's Flagship Cheese Small Sandwich,Food,350,18,31,1,1,16,0,0,,,,,,
100,Smoked Mozzarella & Roasted Pepper Sandwich,Food,500,28,46,4,8,18,0,0,,,,,,
101,Turkey & Fire-Roasted Corn Salad,Food,560,29,53,7,18,24,0,0,,,,,,
102,Za'atar Chicken & Lemon Tahini Salad,Food,570,23,67,11,16,27,0,0,,,,,,
103,BBQ Chicken Protein Box,Food,420,16,49,5,20,22,0,0,,,,,,
104,Cheese & Fruit Protein Box,Food,450,27,34,4,15,20,0,0,,,,,,
105,Chicken Wrap Protein Box,Food,460,22,45,4,13,20,0,0,,,,,,
106,Eggs & Cheese Protein Box,Food,460,24,40,5,21,23,0,0,,,,,,
107,PB&J Protein Box,Food,520,26,53,5,30,20,0,0,,,,,,
108,Smoked Turkey Protein Box,Food,360,12,42,5,15,24,0,0,,,,,,
113,Bacon Gouda & Egg Breakfast Sandwich,Food,370,19,32,1,18,18,0,0,,,,,,
116,Double-Smoked Bacon Cheddar & Egg Sandwich,Food,490,27,40,1,8,21,0,0,,,,,,
120,Sausage Cheddar & Egg Breakfast Sandwich,Food,500,28,41,1,2,15,0,0,,,,,,
121,Seared Steak Egg & Tomatillo Wrap,Food,410,18,43,2,4,21,0,0,,,,,,
122,Slow-Roasted Ham Swiss & Egg Breakfast Sandwich,Food,450,23,42,1,7,24,0,0,,,,,,
123,Sous Vide Egg Bites: Bacon & Gruyere,Food,310,22,9,0,2,19,0,0,,,,,,
125,Spicy Chorizo  Monterey Jack & Egg Breakfast Sandwich,Food,500,30,35,3,5,26,0,0,,,,,,
127,Ancho Chipotle Chicken Panini ,Food,500,19,57,4,3,26,0,0,,,,,,
128,Chicken & Quinoa Protein Bowl with Black Beans and Greens,Food,420,17,42,9,11,27,0,0,,,,,,
129,Chicken Artichoke on Ancient Grain Flatbread,Food,510,27,37,5,1,24,0,0,,,,,,
130,Chicken BLT Salad Sandwich,Food,470,25,35,3,3,21,0,0,,,,,,
131,Egg Salad Sandwich,Food,480,27,42,7,5,16,0,0,,,,,,
132,Homestyle Chicken & Double-Smoked Bacon,Food,480,17,57,3,11,23,0,0,,,,,,
133,Italian-Style Ham & Spicy Salami,Food,480,20,49,3,3,22,0,0,,,,,,
134,Lentils & Vegetable Protein Bowl with Brown Rice,Food,650,29,80,21,10,23,0,0,,,,,,
135,Roasted Tomato & Mozzarella Panini,Food,420,18,47,3,2,11,0,0,,,,,,
136,Turkey & Havarti Sandwich,Food,460,21,31,2,2,29,0,0,,,,,,
137,Turkey Pesto Panini,Food,560,23,55,3,3,34,0,0,,,,,,
34,Almond Croissant,Food,410,22,45,3,13,10,0,1,,,,,,
35,Apple Fritter,Food,460,23,56,2,18,7,0,1,,,,,,
36,Banana Nut Bread,Food,420,22,52,2,30,6,0,1,,,,,,
37,Blueberry Muffin with Yogurt and Honey,Food,380,16,53,1,30,6,0,1,,,,,,
38,Blueberry Scone,Food,420,17,61,2,7,5,0,1,,,,,,
40,Butterfly Cookie,Food,350,22,38,0,37,2,0,1,,,,,,
43,Chocolate Chip Cookie,Food,310,15,42,2,31,4,0,1,,,,,,
44,Chocolate Chunk Muffin,Food,440,21,60,2,39,7,0,1,,,,,,
